E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
1642.68,³⁸Cl распад,активация Cl | D,2.8233313210156155,14.776592184076184,0.19106782442423662,0,
1725.29,⁵⁶Fe(n;γ),сталь | C,15.544628618153265,12.364328684084628,1.2572157385432758,0,
1764.49,²¹⁴Bi (радон),должно отсутствовать | D,-19.374102467851966,13.214789031777816,-1.4660924530284025,0,
1778.99,²⁸Al распад (100 %); T½ 2;245 мин,обшивка (n;γ на Al и (n;p) на Si) | A,-15.529594483398654,14.614082349419373,-1.0626458858031311,0,
1779.03,²⁸Si(n;n′); σ 579 мб @5 МэВ; пик 1032 мб @2;86 МэВ,стекло; электроника; наполнители | A (сливается с предыдущей),-15.529594483398657,14.614082349419373,-1.0626458858031314,0,
1810.73,⁵⁶Mn распад,активация Fe | C,8.597125028425769,11.903475750048525,0.7222365306528828,0,
1884.82,¹⁴N(n;γ),воздух; люди | C,-117.15223173360499,13.19355022716122,-8.87950776830536,0,
1942.67,⁴⁰Ca(n;γ),скелет пассажиров | B,-17.864581009115305,12.362290906429989,-1.4450866060612937,0,
1951.14,³⁵Cl(n;γ),ПВХ; тело | B,-15.596716928443076,10.87462402322605,-1.434230452025888,0,
2001.31,⁴⁰Ca(n;γ),скелет | C,-15.420752158427348,11.877290093510586,-1.2983392707443264,0,
2009.84,⁴⁰Ca(n;γ),скелет | C,12.62317641260492,11.262411217502777,1.1208236112873764,0,
2073.79,³⁹K(n;γ),люди | D,-64.61047328972388,12.88764512014639,-5.013365334580999,0,
2085.1,⁵⁶Fe(n;n′) 2-й уровень,сталь | C,-9.207804852862076,12.997444211856523,-0.7084319580662278,0,
