nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,572.14,0.15,0.016,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,968.335->396.083,gamma
Ac228,583.41,0.111,0.01,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,979.507->396.083,gamma
Ac228,590.4,0.017,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1743.87->1153.465,gamma
Ac228,610.64,0.023,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,938.61->328.006,gamma
Ac228,616.22,0.08,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,944.200->328.006,gamma
Ac228,620.38,0.08,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1016.386->396.083,gamma
Ac228,623.27,0.011,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1022.531,gamma
Ac228,627.23,0.014,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1643.119->1016.386,gamma
Ac228,629.4,0.045,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1646.005->1016.386,gamma
Ac228,634.18,0.0106,0.0021,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,,gamma
Ac228,640.34,0.054,0.005,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,968.335->328.006,gamma
