# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=gammas), схема уровней ВНЕ распада (ADOPTED LEVELS ENSDF), не decay_rads.
# Роль — ПЕРЕКРЁСТНАЯ ПРОВЕРКА к data/conversion_coeff_sum_peak_levels.csv, не замена: полнота tot_conv_coeff ниже (см. докстринг tools/fetch_adopted_gammas.py). Сверка — tools/check_cc_cross_source.py.
nuclide,E_keV,level,start_jp,end_jp,relative_intensity,multipolarity,mixing_ratio,tot_conv_coeff,tce_unc,source
Po214,304.0,2508.12->2204.102,(0+),1+,52,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,304.43,1847.446->1543.369,2+,2+,0.58,[M1 E2],,0.3,0.18,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,314.9,3014.1->2698.6,(1 2+),(1 2)+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,324.4,1339.4->1015.04,(6+),(4+),100,(E2),,0.1001,0.0015,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,333.0,2605.1->2272.1,,(9),100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,333.37,1994.639->1661.283,1-,2+,7.9,[E1],,0.02466,0.00035,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,334.8,2423.24->2088.44,(1 2+),(1 2+),100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,334.9,2482.459->2147.86,(1- 2+),(1- 2+),12,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,348.92,1764.52->1415.498,1+,0+,0.68,[M1],,0.335,0.005,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,351.9,1729.612->1377.68,2+,2+,0.21,[M1+E2],,0.2,0.12,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,356.05,2017.314->1661.283,0+,2+,0.29,[E2],,0.0769,0.0011,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,356.8,2734.4->2377.6,(12+),(10+),100,Q,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,386.77,1764.52->1377.68,1+,2+,1.93,[M1 E2],,0.16,0.1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,388.89,2118.535->1729.612,1+,2+,18.16,[M1],,0.2497,0.0035,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,394.04,2482.459->2088.44,(1- 2+),(1 2+),2.9,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,396.02,2604.68->2208.69,(2+),(2- 3),21.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,398.0,1737.4->1339.4,,(6+),100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,405.72,1015.04->609.317,(4+),2+,100,(E2),,0.0541,0.0008,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,422.0,2869.63->2447.701,(2- 3-),1-,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,428.07,2192.536->1764.52,(2)+,1+,1.61,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,433.2,2612.5->2179.3,(12+),(10+),100,Q,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,449.0,2272.1->1823.1,(9),(8+),100,D,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,452.91,2447.701->1994.639,1-,1-,1.97,[M1+E2],,0.1,0.06,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,454.8,1729.612->1274.764,2+,3-,1.95,[E1],,0.01251,0.00018,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,461.06,2204.102->1742.99,1+,0(+),0.88,[M1],,0.1581,0.0022,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,469.76,1847.446->1377.68,2+,2+,2.26,[M1 E2],,0.09,0.06,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
