nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Bi214,768.360,4.89,0.02,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1377.681->609.318,gamma
Bi214,769.700,0.029,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2147.86->1377.681,gamma
Bi214,786.350,0.32,0.04,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1661.282,gamma
Bi214,788.200,0.015,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->1415.498,gamma
Bi214,803.100,0.0045,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,806.179,1.262,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1415.498->609.318,gamma
Bi214,814.920,0.039,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2192.536->1377.681,gamma
Bi214,821.180,0.164,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1661.282,gamma
Bi214,826.410,0.105,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->1377.681,gamma
Bi214,832.370,0.028,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1847.446->1015.041,gamma
Bi214,840.400,0.01,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2604.68->1764.520,gamma
Bi214,847.140,0.025,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1847.446,gamma
Bi214,872.950,0.017,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2147.86->1274.765,gamma
Bi214,878.020,0.011,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2293.362->1415.498,gamma
Bi214,904.350,0.073,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1543.370,gamma
Bi214,915.730,0.024,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2293.362->1377.681,gamma
Bi214,917.700,0.005,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2192.536->1274.765,gamma
Bi214,930.200,0.026,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1764.520,gamma
Bi214,934.056,3.094,0.019,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1543.370->609.318,gamma
Bi214,934.100,0.049,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2208.69->1274.765,gamma
Bi214,934.500,0.01,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->1764.520,gamma
Bi214,938.650,0.013,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2785.97->1847.446,gamma
Bi214,939.600,0.02,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1543.370,gamma
Bi214,943.330,0.016,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2604.68->1661.282,gamma
Bi214,949.800,0.005,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2662.33->1712.93,gamma
Bi214,952.200,0.0059,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1742.99,gamma
Bi214,961.660,0.0105,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2505.34->1543.370,gamma
Bi214,964.080,0.373,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->1764.520,gamma
Bi214,965.000,0.01,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2508.12->1543.370,gamma
Bi214,976.180,0.015,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->1742.99,gamma
Bi214,989.290,0.008,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,991.560,0.0095,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2266.41->1274.765,gamma
Bi214,1013.400,0.013,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2860.93->1847.446,gamma
Bi214,1021.400,0.015,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2785.97->1764.520,gamma
