nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Am241,191.96,2.16e-05,0.0000010230620704532057,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,497.01->305.05,gamma
Am241,197.0,4.9e-07,0.0000000049,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,592.33->395.57,gamma
Am241,204.06,2.9e-06,0.00000019220041623263984,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,395.57->191.55,gamma
Am241,208.01,0.000791,0.00001875014933273866,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,267.566->59.54090,gamma
Am241,221.46,4.24e-05,0.0000010861749398692643,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,324.421->102.959,gamma
Am241,232.81,4.64e-06,0.00000030356706013663604,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,514.20->281.363,gamma
Am241,234.33,6.6e-07,0.00000027008065462005976,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,267.566->33.19632,gamma
Am241,246.73,2.42e-06,0.00000025116854898653215,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,514.20->267.566,gamma
Am241,249.0,5.4e-07,0.0000000054,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,324.421->75.900,gamma
Am241,260.8,1.21e-06,0.00000019038489961128745,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,452.547->191.55,gamma
Am241,264.89,9e-06,0.00000041,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,324.421->59.54090,gamma
