             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  4.496500e-05  3.015568e+02  3.023080e+02  3.030579e+02  3.038066e+02  3.045536e+02  3.052989e+02  3.060421e+02  3.067826e+02  3.075195e+02  3.082510e+02  3.084201e+02  3.083779e+02  3.087390e+02  3.091524e+02  3.096039e+02  3.100860e+02  3.105941e+02  3.111249e+02  3.116759e+02  3.122453e+02  3.128315e+02
  5.660700e-05  2.425201e+02  2.431244e+02  2.437278e+02  2.443301e+02  2.449312e+02  2.455308e+02  2.461286e+02  2.467244e+02  2.473172e+02  2.479057e+02  2.480420e+02  2.480089e+02  2.483005e+02  2.486342e+02  2.489987e+02  2.493880e+02  2.497982e+02  2.502268e+02  2.506717e+02  2.511313e+02  2.516046e+02
  7.126400e-05  1.950262e+02  1.955125e+02  1.959979e+02  1.964824e+02  1.969660e+02  1.974484e+02  1.979294e+02  1.984086e+02  1.988856e+02  1.993590e+02  1.994690e+02  1.994430e+02  1.996785e+02  1.999481e+02  2.002425e+02  2.005570e+02  2.008883e+02  2.012345e+02  2.015938e+02  2.019651e+02  2.023474e+02
  8.971700e-05  1.568263e+02  1.572175e+02  1.576081e+02  1.579979e+02  1.583870e+02  1.587751e+02  1.591620e+02  1.595476e+02  1.599313e+02  1.603122e+02  1.604010e+02  1.603807e+02  1.605711e+02  1.607889e+02  1.610269e+02  1.612810e+02  1.615487e+02  1.618285e+02  1.621189e+02  1.624189e+02  1.627278e+02
  1.129500e-04  1.261063e+02  1.264210e+02  1.267353e+02  1.270490e+02  1.273620e+02  1.276743e+02  1.279856e+02  1.282959e+02  1.286046e+02  1.289110e+02  1.289827e+02  1.289670e+02  1.291209e+02  1.292971e+02  1.294895e+02  1.296950e+02  1.299115e+02  1.301377e+02  1.303725e+02  1.306152e+02  1.308650e+02
  1.421900e-04  1.014130e+02  1.016663e+02  1.019192e+02  1.021717e+02  1.024236e+02  1.026749e+02  1.029255e+02  1.031751e+02  1.034236e+02  1.036702e+02  1.037281e+02  1.037160e+02  1.038406e+02  1.039832e+02  1.041389e+02  1.043052e+02  1.044804e+02  1.046635e+02  1.048535e+02  1.050498e+02  1.052520e+02
  1.790100e-04  8.155535e+01  8.175926e+01  8.196284e+01  8.216604e+01  8.236882e+01  8.257110e+01  8.277279e+01  8.297375e+01  8.317371e+01  8.337218e+01  8.341904e+01  8.340981e+01  8.351071e+01  8.362619e+01  8.375231e+01  8.388698e+01  8.402891e+01  8.417716e+01  8.433107e+01  8.449010e+01  8.465382e+01
  2.253600e-04  6.559354e+01  6.575773e+01  6.592164e+01  6.608525e+01  6.624852e+01  6.641138e+01  6.657377e+01  6.673556e+01  6.689655e+01  6.705633e+01  6.709428e+01  6.708732e+01  6.716912e+01  6.726274e+01  6.736499e+01  6.747417e+01  6.758923e+01  6.770942e+01  6.783419e+01  6.796311e+01  6.809584e+01
  2.837100e-04  5.276297e+01  5.289521e+01  5.302723e+01  5.315901e+01  5.329051e+01  5.342169e+01  5.355247e+01  5.368278e+01  5.381244e+01  5.394112e+01  5.397189e+01  5.396671e+01  5.403311e+01  5.410910e+01  5.419208e+01  5.428069e+01  5.437408e+01  5.447162e+01  5.457289e+01  5.467752e+01  5.478523e+01
  3.571700e-04  4.244935e+01  4.255591e+01  4.266229e+01  4.276847e+01  4.287443e+01  4.298012e+01  4.308551e+01  4.319050e+01  4.329496e+01  4.339864e+01  4.342364e+01  4.341986e+01  4.347382e+01  4.353557e+01  4.360300e+01  4.367501e+01  4.375090e+01  4.383016e+01  4.391245e+01  4.399747e+01  4.408500e+01
  4.496500e-04  3.415936e+01  3.424527e+01  3.433103e+01  3.441664e+01  3.450206e+01  3.458727e+01  3.467222e+01  3.475686e+01  3.484108e+01  3.492465e+01  3.494499e+01  3.494232e+01  3.498623e+01  3.503648e+01  3.509136e+01  3.514996e+01  3.521171e+01  3.527621e+01  3.534317e+01  3.541236e+01  3.548358e+01
  5.660700e-04  2.749610e+01  2.756540e+01  2.763459e+01  2.770365e+01  2.777256e+01  2.784130e+01  2.790983e+01  2.797811e+01  2.804604e+01  2.811345e+01  2.813004e+01  2.812823e+01  2.816402e+01  2.820498e+01  2.824971e+01  2.829747e+01  2.834780e+01  2.840037e+01  2.845495e+01  2.851133e+01  2.856938e+01
  7.126500e-04  2.213945e+01  2.219540e+01  2.225125e+01  2.230701e+01  2.236264e+01  2.241813e+01  2.247345e+01  2.252857e+01  2.258340e+01  2.263782e+01  2.265139e+01  2.265025e+01  2.267947e+01  2.271291e+01  2.274943e+01  2.278843e+01  2.282952e+01  2.287245e+01  2.291700e+01  2.296304e+01  2.301043e+01
  8.971600e-04  1.783393e+01  1.787914e+01  1.792428e+01  1.796933e+01  1.801428e+01  1.805912e+01  1.810383e+01  1.814836e+01  1.819266e+01  1.823663e+01  1.824776e+01  1.824714e+01  1.827105e+01  1.829841e+01  1.832829e+01  1.836019e+01  1.839381e+01  1.842892e+01  1.846537e+01  1.850303e+01  1.854181e+01
  1.129500e-03  1.437180e+01  1.440838e+01  1.444489e+01  1.448133e+01  1.451769e+01  1.455396e+01  1.459012e+01  1.462614e+01  1.466197e+01  1.469752e+01  1.470670e+01  1.470647e+01  1.472607e+01  1.474851e+01  1.477300e+01  1.479916e+01  1.482672e+01  1.485550e+01  1.488539e+01  1.491626e+01  1.494805e+01
  1.421900e-03  1.158906e+01  1.161869e+01  1.164826e+01  1.167778e+01  1.170723e+01  1.173660e+01  1.176589e+01  1.179506e+01  1.182408e+01  1.185287e+01  1.186046e+01  1.186054e+01  1.187665e+01  1.189509e+01  1.191522e+01  1.193671e+01  1.195937e+01  1.198302e+01  1.200758e+01  1.203296e+01  1.205908e+01
  1.790100e-03  9.350692e+00  9.374722e+00  9.398711e+00  9.422652e+00  9.446541e+00  9.470368e+00  9.494121e+00  9.517781e+00  9.541319e+00  9.564669e+00  9.570975e+00  9.571279e+00  9.584557e+00  9.599750e+00  9.616339e+00  9.634051e+00  9.652715e+00  9.672209e+00  9.692444e+00  9.713350e+00  9.734871e+00
  2.253600e-03  7.550493e+00  7.570020e+00  7.589512e+00  7.608967e+00  7.628378e+00  7.647738e+00  7.667037e+00  7.686261e+00  7.705384e+00  7.724354e+00  7.729625e+00  7.730099e+00  7.741073e+00  7.753628e+00  7.767337e+00  7.781974e+00  7.797397e+00  7.813506e+00  7.830227e+00  7.847502e+00  7.865286e+00
  2.837100e-03  6.102214e+00  6.118113e+00  6.133985e+00  6.149826e+00  6.165630e+00  6.181393e+00  6.197106e+00  6.212757e+00  6.228325e+00  6.243767e+00  6.248200e+00  6.248798e+00  6.257896e+00  6.268305e+00  6.279669e+00  6.291803e+00  6.304588e+00  6.317941e+00  6.331801e+00  6.346121e+00  6.360862e+00
  3.571700e-03  4.936654e+00  4.949632e+00  4.962585e+00  4.975513e+00  4.988412e+00  5.001276e+00  5.014099e+00  5.026871e+00  5.039575e+00  5.052174e+00  5.055929e+00  5.056616e+00  5.064184e+00  5.072842e+00  5.082295e+00  5.092388e+00  5.103022e+00  5.114128e+00  5.125656e+00  5.137566e+00  5.149827e+00
  4.496500e-03  3.998312e+00  4.008933e+00  4.019534e+00  4.030114e+00  4.040670e+00  4.051197e+00  4.061690e+00  4.072141e+00  4.082535e+00  4.092843e+00  4.096048e+00  4.096796e+00  4.103115e+00  4.110343e+00  4.118235e+00  4.126660e+00  4.135537e+00  4.144809e+00  4.154432e+00  4.164374e+00  4.174609e+00
  5.660700e-03  3.242581e+00  3.251300e+00  3.260003e+00  3.268689e+00  3.277354e+00  3.285996e+00  3.294609e+00  3.303187e+00  3.311719e+00  3.320179e+00  3.322937e+00  3.323725e+00  3.329021e+00  3.335080e+00  3.341694e+00  3.348755e+00  3.356195e+00  3.363965e+00  3.372030e+00  3.380361e+00  3.388938e+00
  7.126500e-03  2.633515e+00  2.640699e+00  2.647870e+00  2.655025e+00  2.662164e+00  2.669283e+00  2.676379e+00  2.683445e+00  2.690472e+00  2.697440e+00  2.699834e+00  2.700647e+00  2.705104e+00  2.710203e+00  2.715769e+00  2.721712e+00  2.727973e+00  2.734512e+00  2.741298e+00  2.748310e+00  2.755527e+00
