cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
12,"W-index= 6.880000e+01 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,1.7323e+01,0.0000e+00,6.9316e+00,3.4072e+00,1.3178e+00,3.6750e-01
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,1.3651e+00,3.9562e-02,5.0681e-01,5.7182e-01,3.1376e-01,7.8245e-01
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,7.4004e-02,0.0000e+00,1.6800e-06,7.3982e-02,7.3374e-02,3.3750e-01
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,5.4084e-02,0.0000e+00,2.6215e-08,5.4083e-02,5.4008e-02,6.6379e-02
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,5.0349e-02,0.0000e+00,2.7021e-08,5.0348e-02,5.0271e-02,6.1929e-02
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,5.1286e-01,0.0000e+00,2.4802e-02,3.9208e-01,2.2354e-01,1.9900e-01
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,2.4829e-01,0.0000e+00,2.7099e-04,2.4014e-01,1.8384e-01,1.7953e-01
13,"W-index= 1.000000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,1.6677e+01,0.0000e+00,6.6734e+00,3.2803e+00,1.2687e+00,3.5382e-01
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",neutron,1.2558e+00,3.6385e-02,4.6622e-01,5.2603e-01,2.8863e-01,7.2022e-01
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",proton,6.6626e-02,0.0000e+00,1.5137e-06,6.6606e-02,6.6058e-02,3.0377e-01
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muplus,5.1255e-02,0.0000e+00,2.4276e-08,5.1253e-02,5.1184e-02,6.2913e-02
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",muminus,4.7945e-02,0.0000e+00,2.5293e-08,4.7944e-02,4.7872e-02,5.8981e-02
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",electron,4.8490e-01,0.0000e+00,2.3449e-02,3.7070e-01,2.1135e-01,1.8815e-01
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",positron,2.3490e-01,0.0000e+00,2.5637e-04,2.2719e-01,1.7392e-01,1.6985e-01
14,"W-index= 1.500000e+02 Rc(GV)= 1.123490e+01 depth(g/cm2)= 2.314654e+02 g= 1.000000e+01",photon,1.5693e+01,0.0000e+00,6.2796e+00,3.0867e+00,1.1938e+00,3.3294e-01
