E_keV,measured,baseline,apparent
1221.52,3.429971e-04,2.278914e-04,1.714939e-04
1224.27,3.413638e-04,2.241114e-04,1.724395e-04
1227.02,3.397305e-04,2.201777e-04,1.733577e-04
1229.77,3.152307e-04,2.160338e-04,1.742489e-04
1232.51,3.184973e-04,2.116277e-04,1.751077e-04
1235.27,3.380972e-04,2.070183e-04,1.759064e-04
1238.02,3.152307e-04,2.023368e-04,1.766153e-04
1240.77,2.629645e-04,1.975239e-04,1.772367e-04
1243.52,3.250306e-04,1.925345e-04,1.777648e-04
1246.27,2.760310e-04,1.874359e-04,1.781813e-04
1249.03,2.662311e-04,1.823822e-04,1.784736e-04
1251.78,3.005308e-04,1.773063e-04,1.786462e-04
1254.53,2.302981e-04,1.721770e-04,1.786954e-04
1257.29,2.531646e-04,1.670373e-04,1.786152e-04
1260.05,2.645978e-04,1.620667e-04,1.784146e-04
1262.80,2.270314e-04,1.571829e-04,1.780977e-04
1265.56,2.302981e-04,1.523710e-04,1.776655e-04
1268.32,2.417313e-04,1.476216e-04,1.771167e-04
1271.08,2.531646e-04,1.431378e-04,1.764857e-04
1273.84,2.400980e-04,1.388182e-04,1.757716e-04
1276.60,2.482646e-04,1.346619e-04,1.749829e-04
